asset_id,symbol,venue,interval_code,cycle_from_ts_utc,latest_ts_utc,latest_price,cycle_low_ts_utc,cycle_low_price,swing_high_ts_utc,swing_high_price,ath_price,conservative_zone_low,conservative_zone_high,primary_zone_low,primary_zone_high,extension_zone_low,extension_zone_high,moonbag_zone_low,moonbag_zone_high,upside_to_primary_low_pct,confidence,classification,notes
1,BTC,bitvavo,1d,2022-11-01 00:00:00,2026-05-07 00:00:00,69337.0000000000,2022-11-22 00:00:00,15111.0000000000,2025-10-07 00:00:00,107470.0000000000,107470.0000000000,164547.8620000000,199829.0000000000,256906.8620000000,349265.8620000000,406343.7240000000,476906.0000000000,648139.5860000000,745360.5239000000,270.52,HIGH,BELOW_PRIMARY_SELL_ZONE,research_only; fib_extensions_from_cycle_low_to_post_low_swing_high; sell_zone_1=1.618-2.0; primary=2.618-3.618; extension=4.236-5.0; moonbag=6.854+
12,QNT,bitvavo,1d,2022-11-01 00:00:00,2026-05-07 00:00:00,59.9150000000,2026-02-07 00:00:00,45.5240000000,2026-03-21 00:00:00,70.8000000000,176.8600000000,86.4205680000,96.0760000000,111.6965680000,136.9725680000,152.5931360000,171.9040000000,218.7657040000,251.5805596000,86.43,HIGH,BELOW_PRIMARY_SELL_ZONE,research_only; fib_extensions_from_cycle_low_to_post_low_swing_high; sell_zone_1=1.618-2.0; primary=2.618-3.618; extension=4.236-5.0; moonbag=6.854+
13,SUI,bitvavo,1d,2022-11-01 00:00:00,2026-05-07 00:00:00,0.8444800000,2023-10-20 00:00:00,0.3445000000,2025-01-05 00:00:00,5.1975000000,5.1975000000,8.1966540000,10.0505000000,13.0496540000,17.9026540000,20.9018080000,24.6095000000,33.6069620000,38.6480063000,1445.29,HIGH,BELOW_PRIMARY_SELL_ZONE,research_only; fib_extensions_from_cycle_low_to_post_low_swing_high; sell_zone_1=1.618-2.0; primary=2.618-3.618; extension=4.236-5.0; moonbag=6.854+
14,VET,bitvavo,1d,2022-11-01 00:00:00,2026-05-07 00:00:00,0.0065343000,2026-03-30 00:00:00,0.0055768000,2026-04-05 00:00:00,0.0066959000,0.0759000000,0.0073875038,0.0078150000,0.0085066038,0.0096257038,0.0103173076,0.0111723000,0.0132471114,0.0152341781,30.18,HIGH,BELOW_PRIMARY_SELL_ZONE,research_only; fib_extensions_from_cycle_low_to_post_low_swing_high; sell_zone_1=1.618-2.0; primary=2.618-3.618; extension=4.236-5.0; moonbag=6.854+
15,WAL,bitvavo,1d,2022-11-01 00:00:00,2026-05-07 00:00:00,0.0654080000,2026-03-30 00:00:00,0.0567320000,2026-04-17 00:00:00,0.1028630000,0.6934000000,0.1313719580,0.1489940000,0.1775029580,0.2236339580,0.2521429160,0.2873870000,0.3729138740,0.4288509551,171.38,MEDIUM,BELOW_PRIMARY_SELL_ZONE,research_only; fib_extensions_from_cycle_low_to_post_low_swing_high; sell_zone_1=1.618-2.0; primary=2.618-3.618; extension=4.236-5.0; moonbag=6.854+
16,XLM,bitvavo,1d,2022-11-01 00:00:00,2026-05-07 00:00:00,0.1377700000,2023-01-02 00:00:00,0.0660430000,2024-11-25 00:00:00,0.6083100000,0.6083100000,0.9434310060,1.1505770000,1.4856980060,2.0279650060,2.3630860120,2.7773780000,3.7827410180,4.3501521707,978.39,HIGH,BELOW_PRIMARY_SELL_ZONE,research_only; fib_extensions_from_cycle_low_to_post_low_swing_high; sell_zone_1=1.618-2.0; primary=2.618-3.618; extension=4.236-5.0; moonbag=6.854+
17,AAVE,bitvavo,1d,2022-11-01 00:00:00,2026-05-07 00:00:00,80.3300000000,2023-06-11 00:00:00,44.8820000000,2024-12-17 00:00:00,380.5300000000,380.5300000000,587.9604640000,716.1780000000,923.6084640000,1259.2564640000,1466.6869280000,1723.1220000000,2345.4133920000,2697.2254008000,1049.77,HIGH,BELOW_PRIMARY_SELL_ZONE,research_only; fib_extensions_from_cycle_low_to_post_low_swing_high; sell_zone_1=1.618-2.0; primary=2.618-3.618; extension=4.236-5.0; moonbag=6.854+
18,CC,bitvavo,1d,2022-11-01 00:00:00,2026-05-07 00:00:00,0.1250900000,2026-01-20 00:00:00,0.0918700000,2026-02-01 00:00:00,0.1696500000,0.1696500000,0.2177180400,0.2474300000,0.2954980400,0.3732780400,0.4213460800,0.4807700000,0.6249741200,0.7187202380,136.23,VERY_LOW,BELOW_PRIMARY_SELL_ZONE,research_only; fib_extensions_from_cycle_low_to_post_low_swing_high; sell_zone_1=1.618-2.0; primary=2.618-3.618; extension=4.236-5.0; moonbag=6.854+
19,CRV,bitvavo,1d,2022-11-01 00:00:00,2026-05-07 00:00:00,0.2117000000,2024-08-06 00:00:00,0.1654300000,2024-12-08 00:00:00,1.2600000000,1.2600000000,1.9364442600,2.3545700000,3.0310142600,4.1255842600,4.8020285200,5.6382800000,7.6676127800,8.8177546970,1331.75,HIGH,BELOW_PRIMARY_SELL_ZONE,research_only; fib_extensions_from_cycle_low_to_post_low_swing_high; sell_zone_1=1.618-2.0; primary=2.618-3.618; extension=4.236-5.0; moonbag=6.854+
20,FLOKI,bitvavo,1d,2022-11-01 00:00:00,2026-05-07 00:00:00,0.0000285040,2025-10-11 00:00:00,0.0000136430,2025-10-11 00:00:00,0.0000826450,0.0003200800,0.0001252882,0.0001516470,0.0001942902,0.0002632922,0.0003059355,0.0003586530,0.0004865827,0.0005595701,581.62,VERY_LOW,BELOW_PRIMARY_SELL_ZONE,research_only; fib_extensions_from_cycle_low_to_post_low_swing_high; sell_zone_1=1.618-2.0; primary=2.618-3.618; extension=4.236-5.0; moonbag=6.854+
21,HYPE,bitvavo,1d,2022-11-01 00:00:00,2026-05-07 00:00:00,36.6950000000,2025-04-08 00:00:00,8.4827000000,2025-09-19 00:00:00,50.4700000000,50.4700000000,76.4181514000,92.4573000000,118.4054514000,160.3927514000,186.3409028000,218.4192000000,296.2636542000,340.7032023300,222.67,MEDIUM,BELOW_PRIMARY_SELL_ZONE,research_only; fib_extensions_from_cycle_low_to_post_low_swing_high; sell_zone_1=1.618-2.0; primary=2.618-3.618; extension=4.236-5.0; moonbag=6.854+
22,LDO,bitvavo,1d,2022-11-01 00:00:00,2026-05-07 00:00:00,0.3327900000,2026-03-09 00:00:00,0.2348700000,2026-04-27 00:00:00,0.4011100000,3.6786000000,0.5038463200,0.5673500000,0.6700863200,0.8363263200,0.9390626400,1.0660700000,1.3742789600,1.5804208040,101.35,HIGH,BELOW_PRIMARY_SELL_ZONE,research_only; fib_extensions_from_cycle_low_to_post_low_swing_high; sell_zone_1=1.618-2.0; primary=2.618-3.618; extension=4.236-5.0; moonbag=6.854+
23,LTC,bitvavo,1d,2022-11-01 00:00:00,2026-05-07 00:00:00,48.2800000000,2026-02-07 00:00:00,38.3240000000,2026-03-18 00:00:00,51.5450000000,139.2100000000,59.7155780000,64.7660000000,72.9365780000,86.1575780000,94.3281560000,104.4290000000,128.9407340000,148.2818441000,51.07,HIGH,BELOW_PRIMARY_SELL_ZONE,research_only; fib_extensions_from_cycle_low_to_post_low_swing_high; sell_zone_1=1.618-2.0; primary=2.618-3.618; extension=4.236-5.0; moonbag=6.854+
24,ONDO,bitvavo,1d,2022-11-01 00:00:00,2026-05-07 00:00:00,0.2755100000,2026-02-07 00:00:00,0.1715600000,2026-05-07 00:00:00,0.2884500000,2.0385000000,0.3606880200,0.4053400000,0.4775780200,0.5944680200,0.6667060400,0.7560100000,0.9727240600,1.1186326690,73.34,MEDIUM,BELOW_PRIMARY_SELL_ZONE,research_only; fib_extensions_from_cycle_low_to_post_low_swing_high; sell_zone_1=1.618-2.0; primary=2.618-3.618; extension=4.236-5.0; moonbag=6.854+
25,RLC,bitvavo,1d,2022-11-01 00:00:00,2026-05-07 00:00:00,0.4030100000,2026-03-05 00:00:00,0.3064200000,2026-05-04 00:00:00,0.4472000000,4.3900000000,0.5342020400,0.5879800000,0.6749820400,0.8157620400,0.9027640800,1.0103200000,1.2713261200,1.4620250380,67.49,HIGH,BELOW_PRIMARY_SELL_ZONE,research_only; fib_extensions_from_cycle_low_to_post_low_swing_high; sell_zone_1=1.618-2.0; primary=2.618-3.618; extension=4.236-5.0; moonbag=6.854+
26,WLD,bitvavo,1d,2022-11-01 00:00:00,2026-05-07 00:00:00,0.2192200000,2026-05-03 00:00:00,0.1974300000,2026-05-07 00:00:00,0.2231800000,10.9480000000,0.2390935000,0.2489300000,0.2648435000,0.2905935000,0.3065070000,0.3261800000,0.3739205000,0.4300085750,20.81,HIGH,BELOW_PRIMARY_SELL_ZONE,research_only; fib_extensions_from_cycle_low_to_post_low_swing_high; sell_zone_1=1.618-2.0; primary=2.618-3.618; extension=4.236-5.0; moonbag=6.854+
27,XRP,bitvavo,1d,2022-11-01 00:00:00,2026-05-07 00:00:00,1.2126200000,2023-01-03 00:00:00,0.2852600000,2025-01-17 00:00:00,3.3000000000,3.3000000000,5.1631093200,6.3147400000,8.1778493200,11.1925893200,13.0556986400,15.3589600000,20.9482879600,24.0905311540,574.40,HIGH,BELOW_PRIMARY_SELL_ZONE,research_only; fib_extensions_from_cycle_low_to_post_low_swing_high; sell_zone_1=1.618-2.0; primary=2.618-3.618; extension=4.236-5.0; moonbag=6.854+
28,ALGO,bitvavo,1d,2022-11-01 00:00:00,2026-05-07 00:00:00,0.1018230000,2026-02-07 00:00:00,0.0687200000,2026-04-05 00:00:00,0.1101980000,0.5827000000,0.1358314040,0.1516760000,0.1773094040,0.2187874040,0.2444208080,0.2761100000,0.3530102120,0.4059617438,74.13,HIGH,BELOW_PRIMARY_SELL_ZONE,research_only; fib_extensions_from_cycle_low_to_post_low_swing_high; sell_zone_1=1.618-2.0; primary=2.618-3.618; extension=4.236-5.0; moonbag=6.854+
29,DOT,bitvavo,1d,2022-11-01 00:00:00,2026-05-07 00:00:00,1.1218000000,2025-10-11 00:00:00,0.8500000000,2025-10-11 00:00:00,3.7069000000,11.0950000000,5.4724642000,6.5638000000,8.3293642000,11.1862642000,12.9518284000,15.1345000000,20.4311926000,23.4958714900,642.50,VERY_LOW,BELOW_PRIMARY_SELL_ZONE,research_only; fib_extensions_from_cycle_low_to_post_low_swing_high; sell_zone_1=1.618-2.0; primary=2.618-3.618; extension=4.236-5.0; moonbag=6.854+
30,FET,bitvavo,1d,2022-11-01 00:00:00,2026-05-07 00:00:00,0.1920900000,2022-11-23 00:00:00,0.0514400000,2024-03-29 00:00:00,3.2197000000,3.2197000000,5.1776846800,6.3879600000,8.3459446800,11.5142046800,13.4721893600,15.8927400000,21.7666940400,25.0316981460,4244.81,HIGH,BELOW_PRIMARY_SELL_ZONE,research_only; fib_extensions_from_cycle_low_to_post_low_swing_high; sell_zone_1=1.618-2.0; primary=2.618-3.618; extension=4.236-5.0; moonbag=6.854+
31,HNT,bitvavo,1d,2022-11-01 00:00:00,2026-05-07 00:00:00,0.8046200000,2026-02-07 00:00:00,0.6000000000,2026-02-20 00:00:00,1.4999000000,9.6434000000,2.0560382000,2.3998000000,2.9559382000,3.8558382000,4.4119764000,5.0995000000,6.7679146000,7.7831017900,267.37,MEDIUM,BELOW_PRIMARY_SELL_ZONE,research_only; fib_extensions_from_cycle_low_to_post_low_swing_high; sell_zone_1=1.618-2.0; primary=2.618-3.618; extension=4.236-5.0; moonbag=6.854+
32,ICP,bitvavo,1d,2022-11-01 00:00:00,2026-05-07 00:00:00,2.7211000000,2025-10-11 00:00:00,1.6434000000,2025-11-09 00:00:00,8.5377000000,19.3890000000,12.7983774000,15.4320000000,19.6926774000,26.5869774000,30.8476548000,36.1149000000,48.8969322000,56.2314720300,623.70,HIGH,BELOW_PRIMARY_SELL_ZONE,research_only; fib_extensions_from_cycle_low_to_post_low_swing_high; sell_zone_1=1.618-2.0; primary=2.618-3.618; extension=4.236-5.0; moonbag=6.854+
33,INJ,bitvavo,1d,2022-11-01 00:00:00,2026-05-07 00:00:00,3.3057000000,2022-12-29 00:00:00,1.1500000000,2024-03-13 00:00:00,49.4000000000,49.4000000000,79.2185000000,97.6500000000,127.4685000000,175.7185000000,205.5370000000,242.4000000000,331.8555000000,381.6338250000,3756.02,HIGH,BELOW_PRIMARY_SELL_ZONE,research_only; fib_extensions_from_cycle_low_to_post_low_swing_high; sell_zone_1=1.618-2.0; primary=2.618-3.618; extension=4.236-5.0; moonbag=6.854+
34,IOST,bitvavo,1d,2022-11-01 00:00:00,2026-05-07 00:00:00,0.0009424000,2026-03-30 00:00:00,0.0008816000,2026-04-16 00:00:00,0.0010690000,0.0149840000,0.0011848132,0.0012564000,0.0013722132,0.0015596132,0.0016754264,0.0018186000,0.0021660396,0.0024909455,45.61,HIGH,BELOW_PRIMARY_SELL_ZONE,research_only; fib_extensions_from_cycle_low_to_post_low_swing_high; sell_zone_1=1.618-2.0; primary=2.618-3.618; extension=4.236-5.0; moonbag=6.854+
35,MOG,bitvavo,1d,2022-11-01 00:00:00,2026-05-07 00:00:00,1.322E-7,2026-04-13 00:00:00,1.089E-7,2026-04-23 00:00:00,1.622E-7,0.0000039000,1.951E-7,2.155E-7,2.484E-7,3.017E-7,3.347E-7,3.754E-7,4.742E-7,5.454E-7,87.93,MEDIUM,BELOW_PRIMARY_SELL_ZONE,research_only; fib_extensions_from_cycle_low_to_post_low_swing_high; sell_zone_1=1.618-2.0; primary=2.618-3.618; extension=4.236-5.0; moonbag=6.854+
36,NOT,bitvavo,1d,2022-11-01 00:00:00,2026-05-07 00:00:00,0.0004637400,2026-03-01 00:00:00,0.0002769800,2026-04-28 00:00:00,0.0005802300,0.0208720000,0.0007676385,0.0008834800,0.0010708885,0.0013741385,0.0015615470,0.0017932300,0.0023554555,0.0027087738,130.92,MEDIUM,BELOW_PRIMARY_SELL_ZONE,research_only; fib_extensions_from_cycle_low_to_post_low_swing_high; sell_zone_1=1.618-2.0; primary=2.618-3.618; extension=4.236-5.0; moonbag=6.854+
37,RED,bitvavo,1d,2022-11-01 00:00:00,2026-05-07 00:00:00,0.1214700000,2026-04-01 00:00:00,0.0873900000,2026-04-08 00:00:00,0.2150200000,0.8396400000,0.2938953400,0.3426500000,0.4215253400,0.5491553400,0.6280306800,0.7255400000,0.9621660200,1.1064909230,247.02,MEDIUM,BELOW_PRIMARY_SELL_ZONE,research_only; fib_extensions_from_cycle_low_to_post_low_swing_high; sell_zone_1=1.618-2.0; primary=2.618-3.618; extension=4.236-5.0; moonbag=6.854+
38,RENDER,bitvavo,1d,2022-11-01 00:00:00,2026-05-07 00:00:00,1.6656000000,2026-02-07 00:00:00,0.9569000000,2026-04-09 00:00:00,1.8150000000,11.2230000000,2.3453058000,2.6731000000,3.2034058000,4.0615058000,4.5918116000,5.2474000000,6.8383174000,7.8640650100,92.33,MEDIUM,BELOW_PRIMARY_SELL_ZONE,research_only; fib_extensions_from_cycle_low_to_post_low_swing_high; sell_zone_1=1.618-2.0; primary=2.618-3.618; extension=4.236-5.0; moonbag=6.854+
68,XPL,bitvavo,1d,2022-11-01 00:00:00,2026-05-07 00:00:00,0.0846040000,2026-02-07 00:00:00,0.0597500000,2026-04-03 00:00:00,0.1433230000,1.4327000000,0.1949711140,0.2268960000,0.2785441140,0.3621171140,0.4137652280,0.4776150000,0.6325593420,0.7274432433,229.23,LOW,BELOW_PRIMARY_SELL_ZONE,research_only; fib_extensions_from_cycle_low_to_post_low_swing_high; sell_zone_1=1.618-2.0; primary=2.618-3.618; extension=4.236-5.0; moonbag=6.854+
69,TAO,bitvavo,1d,2022-11-01 00:00:00,2026-05-07 00:00:00,263.2300000000,2026-02-12 00:00:00,120.6100000000,2026-03-26 00:00:00,331.0000000000,704.7800000000,461.0210200000,541.3900000000,671.4110200000,881.8010200000,1011.8220400000,1172.5600000000,1562.6230600000,1797.0165190000,155.07,MEDIUM,BELOW_PRIMARY_SELL_ZONE,research_only; fib_extensions_from_cycle_low_to_post_low_swing_high; sell_zone_1=1.618-2.0; primary=2.618-3.618; extension=4.236-5.0; moonbag=6.854+
70,LINK,bitvavo,1d,2022-11-01 00:00:00,2026-05-07 00:00:00,8.5129000000,2023-06-11 00:00:00,4.4461000000,2024-12-14 00:00:00,29.5000000000,29.5000000000,44.9833102000,54.5539000000,70.0372102000,95.0911102000,110.5744204000,129.7156000000,176.1655306000,202.5903601900,722.72,HIGH,BELOW_PRIMARY_SELL_ZONE,research_only; fib_extensions_from_cycle_low_to_post_low_swing_high; sell_zone_1=1.618-2.0; primary=2.618-3.618; extension=4.236-5.0; moonbag=6.854+
